Frame,Drop Height,Change,Distance
1555,182,0,0
1556,720,538,0
1557,182,-538,0
1558,182,0,0
1559,182,0,0
1560,182,0,0
1561,181,-1,0
1562,181,0,0
1563,181,0,0
1564,181,0,0
1565,85,-96,0
1566,181,96,0
1567,181,0,0
1568,181,0,0
1569,73,-108,0
1570,859,786,0
1571,859,0,0
1572,720,-139,0
1573,720,0,0
1574,720,0,0
1575,720,0,0
1576,720,0,0
1577,720,0,0
1578,720,0,0
1579,720,0,0
1580,720,0,0
1581,720,0,0
1582,720,0,0
1583,85,-635,0
1584,754,669,0
1585,754,0,0
1586,754,0,0
1587,751,-3,0
1588,751,0,0
1589,85,-666,0
1590,73,-12,0
1591,181,108,0
1592,85,-96,0
1593,753,668,0
1594,753,0,0
1595,753,0,0
1596,94,-659,0
1597,94,0,0
1598,94,0,0
1599,182,88,0
1600,181,-1,0
1601,73,-108,0
1602,73,0,0
1603,86,13,0
1604,86,0,0
1605,85,-1,0
1606,85,0,0
1607,85,0,0
1608,73,-12,0
1609,73,0,0
1610,73,0,0
1611,73,0,0
1612,308,235,0
1613,85,-223,0
1614,73,-12,0
1615,73,0,0
1616,73,0,0
